MSOA_Code,MSOA_Name,0_15(%),16_29(%),30_44(%),45_64(%),65+(%),Density,Couple_household_1(%),Couple_household_2(%),Lone_parent_household(%),One_person_household(%),White(%),Asian(%),Black(%), no_English ,Unemployment_Rate,Median_Income ,Economically_active(%),Income_Deprivation,No_cars_household (%),no_ limited(%),health(%),obesity(16+),Cancer_Incidence ,Life_Expectancy(M),Life_Expectancy(F£©
E02000765,Redbridge 015,21.68,20.38,21.59,22.5,13.85,88.4,23.9,20.7,10.9,22.6,34,53.4,6.1,20.4,6.9,35880,68.8,22.7,27.2,84.9,44.5,21.2,81.5,81.1,84.5
E02000767,Redbridge 017,22.49,19.85,23.25,21.47,12.93,87.7,26.4,19.9,11.5,22.5,37.7,48.9,7.2,18.6,7.3,33318,69.7,21.5,26,84.5,46.3,23,78.9,77.1,80.9
E02000768,Redbridge 018,19.35,16.06,22.76,27.08,14.75,33.3,23.4,22.9,9.2,27,69.7,18.9,5.4,6.2,4.3,52445,74.4,11.4,20.8,86.6,54.1,18.2,91.9,81.2,83.1
E02000769,Redbridge 019,24.67,20.68,23.12,21.22,10.3,96.5,24.5,18,15.4,25.7,43.1,32.6,16.6,13.2,7.9,30912,72.2,19.2,27.7,86.1,49.3,27.8,75.4,78.9,82.4
E02000770,Redbridge 020,25.14,20.92,21.99,21.58,10.37,65.6,26.3,17.2,12,22.2,24.9,59.4,9,24.5,7.7,29862,66.6,24.6,29.4,85.8,47.4,21.5,83.5,79.3,84.2
E02000772,Redbridge 022,25.23,21.83,24.44,19.54,8.95,59,25.1,16.8,14.2,22.5,26.8,53.6,11.2,21.6,9.4,29724,65.7,22.7,31.7,85.6,49.5,22,84,77,79.8
E02000773,Redbridge 023,25.7,23.28,23.37,19.65,8,99.7,29.9,18.1,13.6,16.6,21,60.9,10.5,23.9,8.8,30462,67.1,27.8,26,87.2,48.4,22.3,84.4,79.2,84.6
E02000774,Redbridge 024,23.1,25.08,22.82,19.59,9.42,108.2,23,18.3,12,20.2,19.3,62.4,10.7,26.8,10.2,26991,64.5,30.8,32.2,85.7,45.8,21.6,83.5,78.8,82.7
E02000776,Redbridge 026,23.98,21.8,23.37,21.42,9.43,108.5,27.7,18,11.1,23.2,23.8,62,8.6,21.1,9.4,30601,66,32.7,31.8,86,49.2,19.1,90,76.9,84.6
E02000777,Redbridge 027,19.41,16.2,20.94,29.17,14.28,16.9,21.4,23,10.1,30.6,70.2,14.5,7.4,7.5,5.3,44558,72.5,19.2,26.6,83.8,49.6,18.7,95.8,78.7,83.1
E02000779,Redbridge 029,24.07,24.53,26.05,17.22,8.13,89.9,22.3,15.4,12.6,29.7,21.3,62.4,8.5,30.1,11.8,27610,66.4,37.6,49.8,86.3,46.2,20.1,96.2,77.1,83
E02000780,Redbridge 030,26.64,25.42,23.78,16.73,7.43,119.6,26.1,15.5,13.5,18.4,15.8,66.3,10.9,32.3,10.5,24774,63,38.5,42.7,86.7,49.3,23.4,83.7,76.5,82.6
E02000781,Redbridge 031,24.26,21.67,21.35,21.08,11.64,75.3,24.9,19.1,13.2,19.6,26.7,57.9,9.2,18.4,8.3,30472,67,20.9,23.7,85.2,47.7,23.1,80.6,78.3,82.8
E02000782,Redbridge 032,27.77,25.5,24.46,14.9,7.36,137.7,23.5,12.3,18.6,20.5,15.8,62.6,14.8,34.5,13.4,22918,62.4,40.3,49.6,85.6,47.6,23.1,70.8,74.1,79.5
E02000783,Redbridge 033,30.63,22.04,23.79,15.8,7.75,130.3,22.3,10.7,23.4,20.6,17.5,56.6,17.2,29.8,12.8,22915,60.6,41.5,42.9,85.3,46.6,25.6,86.9,75.1,79.9
E02006800,Redbridge 034,24.09,23.61,23.65,20.61,8.03,82.8,23.5,17.2,12.8,23.6,24.8,56.2,11,23.1,9.8,28055,66.1,32.9,31.5,85.7,47.2,22.8,95.7,79.3,80.8
E02006924,Redbridge 035,20.52,23.67,21.78,21.17,12.86,53.4,22.1,18.8,9.9,21.4,24.6,61.2,8.1,18.3,8,34608,65.4,24.3,26.6,84.5,47.1,18.3,77.5,78.7,82.1
E02006925,Redbridge 036,21.9,19.57,19.23,24.96,14.34,53.7,27.6,21.1,9.2,16.7,29,61.1,4.7,15.3,6.3,42329,68.6,20.2,14.7,85.1,47.1,20.1,86.9,82.1,85
E02000784,Richmond upon Thames 001,20.4,14.88,23.77,26.29,14.65,39,22.6,21.1,8.6,30.6,85.7,6.4,1.5,9.7,4.5,51920,71.7,13.2,27.4,88.9,60.5,13,100.3,83.6,86.6
E02000785,Richmond upon Thames 002,18.16,13.13,28.39,25.01,15.31,23.8,22.3,24.1,4.6,34.1,87.9,6.7,0.8,7.4,3.7,56997,75.7,8.9,24.9,90.1,61.7,11.2,88.3,81.9,86.6
E02000786,Richmond upon Thames 003,19.79,13.8,31.65,22.76,12,60.3,20.9,22.5,8.3,35.7,88.3,4.3,1.5,6.4,4.3,43966,77.1,13.9,30.2,89.6,60.6,13.5,102.7,80.2,84.1
E02000787,Richmond upon Thames 004,19.79,15.86,30.49,21.8,12.06,62.6,20.5,23.9,9,34.4,81.1,9.5,2.3,9.5,4.8,40440,77.8,20.3,30.5,88.5,57.7,14.2,105.2,79.7,85.6
E02000788,Richmond upon Thames 005,21.42,13.01,28.43,24.3,12.84,81.7,25.6,23.2,8,30.2,89.6,4.5,0.8,7.2,3.1,51160,78.1,9.8,24.3,90.3,60.5,13.1,93.3,83.1,86.6
E02000789,Richmond upon Thames 006,17.93,14.48,29.91,23.6,14.09,34.2,18.5,23.5,5.8,41.6,85.7,6.8,0.9,9.2,3.5,49140,75.7,14.8,34.1,89.1,59.7,12.9,96.1,79.4,84.4
E02000790,Richmond upon Thames 007,23.14,12.48,32.88,22.53,8.98,79.3,27.9,25.1,6.4,29.3,89.9,4.1,0.9,5.2,2.6,55328,80.5,8.6,21.7,92.6,64.5,11.9,107,81.8,85
E02000791,Richmond upon Thames 008,14.08,17.71,30.19,23.66,14.36,56.9,15.2,26.7,4,42.3,87.5,5.8,1.1,9.1,3.1,57282,75.2,10.2,34.7,91.1,61.7,10.9,84.1,79,88.4
E02000792,Richmond upon Thames 009,18.3,12.93,30.08,24.62,14.06,56.5,20.7,25.7,4.2,37.7,90.1,4.9,0.8,8.7,3.6,51048,78.7,11.7,27.6,89.3,60.9,12.7,90.6,79.5,81.6
E02000793,Richmond upon Thames 010,19.59,18.05,22.61,24.26,15.5,61.4,24.4,22.5,9.5,26.5,77.1,14.6,2.4,8.2,4.7,34724,73.9,12.1,20,85.6,50.5,21,72.5,81.8,83.8
E02000794,Richmond upon Thames 011,19.7,16.08,27.92,23.74,12.56,46,25.8,25.3,5.4,26.5,85,8.3,1,5.7,3.5,42880,78.2,10.4,19.6,89.3,59.1,15.2,109.4,81.8,87.3
E02000795,Richmond upon Thames 012,23.31,11.82,20.44,26.49,17.95,5.5,27.1,20.1,7.4,28.1,88.5,5.2,1.4,8.2,3.9,59087,68,5.7,17.4,89,60,13.8,92.4,84.8,89
E02000796,Richmond upon Thames 013,20.17,19.29,20.73,25.06,14.76,54.2,22.8,21.3,12.3,25.4,69.6,21.1,3.8,10.9,6.2,31272,70.5,14.4,22.9,84.7,48.1,22.3,95,78.5,84.6
E02000797,Richmond upon Thames 014,16.88,18.1,34.76,21.29,8.97,78.4,20.1,26.3,4.6,36.2,89.9,4.7,1,5.3,2.8,44752,82.5,15.2,29.9,91.9,60.1,12.2,99.5,79.1,84.2
E02000798,Richmond upon Thames 015,21.79,15.16,27.27,24.1,11.68,43.9,26.5,23,9.8,27.8,84,8.5,1.8,5.8,3.9,38433,78.1,13.7,21.1,88,55.5,17.4,95.6,79.2,86.1
E02000799,Richmond upon Thames 016,18.22,22.92,21.87,25.95,11.04,50.9,24.8,25.1,6.9,31,90,4.4,1.1,4.7,2.7,51201,72.7,10.4,18.1,91.1,60,13.3,98.6,85.1,83.8
E02000800,Richmond upon Thames 017,21.01,14.91,22.49,26.56,15.03,28.7,20.3,20.1,14.1,31.2,83,7.4,2.3,8.8,7.3,33176,74.2,18.2,27,85.1,49.3,17.5,115.4,75.6,85.4
E02000801,Richmond upon Thames 018,20.22,14.82,27.86,26.23,10.88,67.4,24.9,24.3,6.7,32.6,91.4,4.2,0.8,3.5,3,45613,77.9,7.2,18.5,91.3,60.7,14.5,93.8,81.1,87.2
E02000802,Richmond upon Thames 019,20.41,13.47,24.47,26.92,14.73,47.4,25.2,22.3,8.4,31.7,89.7,4.7,1.1,5.2,3.5,41498,76.5,13.2,20.2,87,56.1,15.5,112.7,81.5,83
E02000803,Richmond upon Thames 020,19.25,15.81,21.95,27.25,15.75,47.9,19.8,22.8,11.9,32.8,83.7,9,2.3,6.5,5,33330,72.1,14.7,22.3,84.4,47.7,18.5,96.9,80.5,85.8
E02000804,Richmond upon Thames 021,19.48,15.63,25.84,25.51,13.54,19.1,22.6,23.4,5.7,35.9,90.7,4.3,0.9,5.3,3.6,43934,78,12.5,25.1,88.2,57.5,13.3,98.5,82.4,83.4
E02000805,Richmond upon Thames 022,20.44,15.86,23.89,26.47,13.35,38,23.4,20.8,7.5,36.9,88.6,5,1.6,5.4,4.3,41224,72.5,13.6,25.8,87.7,56.9,13.9,124.5,79.3,85
E02000806,Richmond upon Thames 023,19.34,14.6,22.2,28.07,15.78,14.6,23.7,24.9,9.1,29.1,88.7,6.3,1,4.6,3.7,40455,74.4,10.5,19.1,87,54.6,17.4,99.3,81.5,84.6
E02000807,Southwark 001,12.23,31.53,34.34,17.17,4.73,123.8,12.8,25.6,8,30.1,67.8,17.8,6.4,17.1,4.9,50947,80.4,21.3,45.2,90.9,58.1,15.8,113,85.1,85.8
E02000808,Southwark 002,9.89,36.39,28.72,17.83,7.17,88.3,7,22,8.4,41.3,64.1,14.5,13.4,11.8,6,42017,73.3,29.7,68.3,88.7,57.4,16.4,92.1,78.3,91
E02000809,Southwark 003,9.27,33.32,37.98,15.97,3.46,158.9,8.3,26.4,5.5,37.4,70.6,10.8,10.3,12.7,4,55898,83.4,27.4,59.6,93.3,62.6,16.1,81.2,81.5,93.3
E02000810,Southwark 004,17.84,29.67,27.64,17.33,7.52,144.4,10.6,16,14.6,36.9,61.4,9.3,19.8,13.8,8.8,28250,73.3,33,65.9,85.5,51.8,23.8,107.4,78.6,80.5
E02000812,Southwark 006,15.23,34.02,27.06,16.62,7.07,148.9,9.6,15.9,12.9,36.3,52,14.1,24.5,13.2,7.6,29516,69.9,36.1,68.7,86.4,55,22.2,111.2,73.5,81.7
E02000813,Southwark 007,18.95,28.76,25.69,18.11,8.49,98.5,10.8,15.8,16,35,58.5,11.7,21.1,17.1,9,27190,71.5,34,64.3,85.3,51.5,23,99.4,78.5,82.8
E02000814,Southwark 008,11.75,34.5,31.76,16.53,5.46,89.5,10.3,24.7,9.5,31.9,67.1,15.6,10.2,17.7,5.2,46013,80.5,27.6,51.1,90.1,56.6,15.5,97.5,79.2,79.8
E02000815,Southwark 009,13.38,42.76,26.86,12.65,4.36,152.5,10.5,16.7,10.1,32,49.7,19.8,20.3,18.9,5.6,32418,69.2,32.4,69.2,91,59,17.9,77.3,84.3,87.7
E02000816,Southwark 010,18.59,27.29,26.89,19.03,8.19,122.3,12.4,15.9,16.1,35.4,62.6,7.1,20.6,16.3,9.9,25635,70.9,31.7,59.9,84.6,50.4,25.1,112.5,76.9,82.3
E02000817,Southwark 011,20.25,25.22,22.98,19.74,11.81,98,12.1,11.2,18.8,38.6,58.8,7.5,25.5,15.2,11.8,21717,67.2,39.7,64.9,79.6,46.3,25.2,121.1,76.7,81.1
E02000818,Southwark 012,16.41,30.5,24.69,19.01,9.4,128.2,10,14.5,14.1,35.4,53.5,9.3,26.8,15.5,9,24756,68.6,39,68.8,83.8,51.1,23.8,116.8,75.8,82.9
E02000819,Southwark 013,19.71,30.15,22.33,20.55,7.25,161.3,13.5,13.1,15.6,36.3,50,10.1,29.3,18.7,9.6,24055,67.6,38.2,65.6,84.5,50.7,24.7,106.3,75.8,84.7
E02000820,Southwark 014,16.21,29.26,27.98,18.77,7.79,197.4,9.1,15,14.7,37.8,55.5,9.2,25.1,16.7,9.2,28269,73.4,35.5,71.1,85.9,52.2,23.8,97.3,77.9,82.4
E02000821,Southwark 015,23.55,24.73,24.08,20.12,7.52,116.7,15.7,11.1,20.1,28.8,36.2,10.1,41.3,19.2,12.4,22730,66.9,38.7,65.7,85.4,51.6,27.3,87.4,84.5,84.2
E02000822,Southwark 016,22.55,23.35,27,20.53,6.57,165.6,13.8,11.3,19.5,33.1,40.4,10.6,39.6,17.9,12,22644,70.1,35.6,70.6,85.5,51,29.5,86.5,76.4,82.5
E02000823,Southwark 017,18.7,27.25,25.71,20.12,8.22,122.4,11.2,13.4,16.1,32.6,48.9,8.2,31.5,15.6,9.2,26945,72.4,38.9,63.8,85,51.2,24.4,96.6,77.1,84
E02000824,Southwark 018,25.84,22.79,23.81,19.92,7.64,100.6,15.5,9.9,22.9,30.1,29.9,6.8,51.3,16.1,13.2,22101,67.6,38.1,64.1,85.1,51.8,30.9,90.3,82.2,84.3
E02000825,Southwark 019,25.98,23.33,25.88,18.92,5.89,181.6,15.8,11.4,24.1,26.8,26,8.2,54.5,16,12.3,23317,68.7,42.9,61.3,86.2,52.6,33.9,98,81.9,77.1
E02000826,Southwark 020,20.75,25.36,26.76,19.71,7.43,165.7,13.7,13.8,16.7,33.9,42.9,8.2,38,15.2,10.4,26308,71.4,42.3,64.2,86.3,49.7,26.5,111.8,74.1,79.3
E02000827,Southwark 021,21.35,23.24,27.04,21.4,6.97,153.3,12.5,11.7,18,36.2,37.1,8.3,43.8,18.6,10.3,24659,70.7,43.1,70.4,85.8,50.3,27.1,97.2,73.9,79.1
E02000828,Southwark 022,22.52,24.3,25.5,20.92,6.75,134.9,13.8,12.1,20.4,30.5,32.3,10.2,46.2,17.5,12.5,23800,69.4,40.8,64.2,84.7,51.1,30.2,83.8,74.9,83.1
E02000829,Southwark 023,18.66,24.55,27.35,20.44,9,137,12.1,14.8,15.8,36.5,41.4,6.7,41.3,13.1,11.9,25180,71.2,40.5,62.3,82.5,48.1,28.5,99.3,72.2,79.5
E02000830,Southwark 024,16.3,25.15,29.66,20.68,8.21,107.7,14.4,19.8,10.1,33.9,60.9,6.9,23.4,9.5,7,40120,76.4,33.9,52.5,87.4,56,19.3,104.7,77.5,82.3
E02000831,Southwark 025,18.5,21.93,32.02,19.34,8.2,119.1,15.7,18.2,12.6,32.8,56.5,7.1,27.3,9.1,7.1,36051,75.5,31.7,53.9,85.8,52.6,21.3,104.9,76.9,82.8
E02000832,Southwark 026,21.77,20.89,26.55,21.19,9.6,119.3,14.6,14.2,17.7,35.5,44,6.2,39.7,10.4,9.2,26730,69.1,40.2,55.5,82.4,49.9,27.7,104.4,76.2,81.8
E02000833,Southwark 027,21.92,25.03,27.3,19.24,6.51,94.4,16.5,15.2,20.3,28.8,47.5,9.8,32.5,11.8,8.2,30121,71.5,27.8,55.5,88.5,54.1,22.5,104.1,76.5,89.8
E02000834,Southwark 028,15.52,20.58,36.18,19.65,8.07,76.4,15.2,23.2,8.4,35.7,70.2,5.5,15.8,6.6,5.2,46739,80.9,28.5,46.1,87.8,56,17.4,101.9,80.1,86.5
E02000835,Southwark 029,21.75,18.86,28.65,21.88,8.86,49.8,20.1,19.7,15.5,28,61.4,4.9,25.6,7.3,8.5,36312,75.1,26,42.3,86.3,53,22.1,85.6,80.3,84.9
E02000836,Southwark 030,19.62,17.32,32.66,21.5,8.9,109.8,22.4,25.2,8.9,26.6,74.1,5.1,13.7,5.1,4.9,52887,79.1,25.1,37.5,88.2,57.1,16.8,109.6,81.5,84.8
E02000837,Southwark 031,24.55,14,24.46,25.66,11.34,37.9,30.5,21.7,7.4,21.7,81.3,6,6,3.9,3.5,70356,76.9,13.2,25,90.7,62.9,12,88.3,82.6,84
E02000838,Southwark 032,19.71,17.67,31.07,22.43,9.13,87.1,18.9,21.8,12.2,29.8,69.8,5.4,17.3,7.1,6,43476,77.9,23.7,41.9,87,53.8,19.7,108.4,80.1,84.2
E02000839,Southwark 033,20.89,16.81,25.58,23.77,12.94,29.5,17.5,20.1,14.4,31.1,63.9,8.4,19.5,6.5,6.7,44337,72.2,16.4,36.5,85.9,53.5,18.4,95.9,82.3,87.1
E02006802,Southwark 034,11.97,39.34,23.76,18,6.93,111.5,9.7,16.9,12.6,38.1,56.9,15,19.2,12.8,9.1,30166,65.7,31.7,68.6,85.8,53.7,18.2,88.5,78.3,87.8
E02000840,Sutton 001,24.64,19.92,25.47,20.23,9.74,61.4,23.5,16.9,19.5,29.1,74.8,10.9,8.4,8.5,8.3,23501,71.6,33.9,32.6,83.1,46.4,29.5,102.7,75.7,82.1
E02000841,Sutton 002,23.98,19.69,24.53,21.26,10.55,77.2,22.7,17.2,19,28,72.7,14,7.5,11.7,8.5,23552,72.4,28.2,34.3,83.7,45.5,27.4,107.5,75.1,82.3
E02000842,Sutton 003,19.02,17.57,19.79,28.39,15.24,47.3,24.3,25.8,10.3,23.2,77.5,14.5,4.1,7.5,3.8,31834,74.5,10.9,16.7,85.6,48.2,26.2,108.5,78.8,85.7
E02000843,Sutton 004,20.72,19.55,27.34,21.97,10.42,59.5,20.9,22,11.5,35,79.7,7.7,6.8,5.9,5.8,30441,79.5,15.5,24.9,88.3,49.1,25.5,105.5,80.5,83.9
E02000844,Sutton 005,21.93,18.36,23.96,23.76,11.99,78.2,23.5,21.2,14.5,28.6,80.8,7.9,7,5.5,6.2,28121,74.9,21.7,25,84.6,47.3,28,105.3,76.2,84.1
E02000845,Sutton 006,22.07,16.07,27.99,22.96,10.91,61.8,27.2,24.3,10.3,24.3,80.1,12.1,1.8,8.5,4.5,36520,78.3,13.2,18.3,88.7,52.4,24.9,79.4,83.5,85
E02000846,Sutton 007,19.82,15.57,21.95,26.19,16.48,52.3,25,23.9,10.4,24.1,78.1,12.8,4.7,7.7,4.5,32767,74.2,11.8,18.5,84.3,48.8,24.3,86.1,79.7,82.1
E02000847,Sutton 008,17.96,15.74,20.07,26.84,19.39,57.8,23.4,24,7.3,27.9,83.1,11.2,1.7,5,4.2,38126,74.4,10,16.9,85.4,49.2,22.4,112,81,85.1
E02000848,Sutton 009,21.71,16.34,21.02,27.01,13.92,68.4,28.8,24.6,9.8,21.2,82.3,12.3,1.7,5.8,3.5,35055,76.8,9.8,13.9,88.3,50.8,25.9,91.8,80.8,90.3
E02000849,Sutton 010,20.59,17.37,23.74,25.72,12.59,64.2,22.3,23,12.5,29.9,80.7,8.8,5.4,5.3,5.5,32090,75.5,16.8,22.7,85.6,47.6,25.1,94.2,80.3,79.4
E02000850,Sutton 011,20.69,16.16,22.23,27.58,13.34,21,25.7,24.2,11.1,25.4,76.5,11.2,7.9,5,5,33521,76,14.9,17.3,86.4,47.9,24.8,98.1,79.1,84.4
E02000851,Sutton 012,17.56,19.84,27.59,20.5,14.5,75.9,15,18.5,11.1,43.8,75.1,12.2,6.8,11.8,7.2,27609,75,23.8,41,82.7,45.2,21.7,102.2,76.6,81
E02000852,Sutton 013,18.98,17.58,26.22,25.28,11.95,79.4,23,24.8,9.5,30.1,82.9,8.7,3.6,7.1,5.3,34717,78.4,12.8,22,88.3,50.6,22.4,87.1,80.2,83.8
E02000853,Sutton 014,21.47,17.35,25.71,23.89,11.58,61.8,24.3,20.6,12,29.6,79.1,11.5,3.8,8.1,5.1,32030,77.9,16.9,22.6,87.3,49.9,23.3,90.9,78.4,83.4
E02000854,Sutton 015,19.49,15.48,24.43,26.48,14.12,44.2,23.6,25.3,9,29.1,87.3,5.4,2.9,3.8,4.4,39764,77.4,9.8,20,86.6,51.3,19.9,85.5,80.5,84.2
E02000855,Sutton 016,19.73,15.18,20.02,28.03,17.04,42.3,26.3,23.8,7.6,25.3,83,11.4,1.7,4.8,3.5,46181,74.8,8.7,15.7,87.4,51.7,20.1,91.4,83.5,84.2
E02000856,Sutton 017,18.29,18.52,22.14,26.83,14.22,67.8,20.6,23.4,8.6,33.7,77.3,12.8,4.3,6.2,4.6,35799,75.6,14,23.2,86.7,48,19.5,86,80.7,85
E02000857,Sutton 018,14.85,18.1,30.51,19.86,16.67,79.5,15.4,19.4,6.9,46.5,73.8,16.1,4.5,12,5,36254,78.2,14.6,32.6,84.8,49,16.5,84.1,76.9,81.2
E02000858,Sutton 019,25.52,20.1,22.82,21.32,10.23,51.4,19.6,15.6,20.1,33.3,72.6,11.9,8.5,7.4,9.5,23845,68.8,27.7,34.6,83.1,45,26.5,97.6,74.2,82.6
E02000859,Sutton 020,17.91,16.56,19.78,26.39,19.36,48.4,19.6,22.3,9.9,33,81.5,8.9,5.2,4.8,5,36194,72.7,12.6,24.1,82.5,47.2,21.4,90.6,80.8,84
E02000860,Sutton 021,16.25,18.97,28.92,20.78,15.08,90.4,13.6,19.3,8.8,48.2,73.2,13.4,6,11.3,5.3,30415,74.9,19.9,37.7,83,46.2,18.8,102.8,77.7,81.1
E02000861,Sutton 022,17.9,15.79,16.79,31.96,17.55,29.3,26.4,29.8,6.4,17.9,82.8,11,2.5,3.9,3.3,55178,71.9,3.9,10,88.3,52.9,18.3,87.6,84.5,86.1
E02000863,Sutton 024,19.35,15.5,17.68,30.45,17.01,9.6,24.9,27.1,9.6,20.3,76.3,14.3,5.6,3.1,4.5,42951,72.6,9.9,10.2,85,48.6,22.3,90,81,82.7
E02006836,Sutton 025,18.36,13.28,19.5,28.48,20.39,25.1,24.8,26.5,5.6,23.9,76.8,16.4,2.2,5,3.2,55649,72,7.1,10.5,87,51.9,17.9,79.6,81,84
E02000864,Tower Hamlets 001,20.94,27.29,24.89,17.21,9.68,67.1,12.8,14.8,15.9,34.9,55.2,25.8,12,14,11.5,28619,67.9,43.8,61.8,81.6,45.6,24.7,117.9,74.1,78.8
E02000865,Tower Hamlets 002,21.08,29.33,26.07,16.01,7.52,158.6,16,12.2,12.1,35.6,46.9,38.2,7.8,19.9,11.5,29970,68,53.7,66.2,83,47,22,96.6,75.4,83.1
E02000866,Tower Hamlets 003,17.8,30.91,25.52,17.72,8.04,85.1,14.2,18.9,10.7,31.1,65.5,21.4,7,11.9,7.7,43435,72.4,42.5,57,86.6,51.5,18,108.1,78.4,80.2
E02000867,Tower Hamlets 004,16.56,37.54,28.16,12.48,5.27,126,10.3,21.1,11.2,33.5,57.9,27.2,7,15.1,6.7,37341,76.3,45.3,62.5,88.4,52.6,18.7,90.1,75.4,81.6
E02000868,Tower Hamlets 005,15.88,36.52,28.6,12.55,6.45,190.7,12,18.4,8.6,32.5,54.4,32.8,5.5,17.6,7.7,32542,72.9,45.9,69.9,86.7,52.6,18.5,93.8,75.1,77.9
E02000869,Tower Hamlets 006,17.06,28.68,29.08,16.56,8.62,177.6,12.2,16.1,10.5,38,56.3,28.7,7.8,18.3,9.4,33513,71.8,50.5,67.6,83.2,47.9,19.3,131.9,75.6,78.6
E02000870,Tower Hamlets 007,19.9,31.33,25.52,15.22,8.03,164.7,14.5,14.5,12.6,32.9,54,32.9,6,16.3,9.6,30571,70.6,42.9,65.5,84.4,48.6,19.8,108.9,75.3,79.7
E02000871,Tower Hamlets 008,26,29.47,25.53,12.78,6.22,138.2,19.9,13.6,14.7,31.3,28,53.2,12.1,27.7,13.3,26919,65.7,55.5,63.1,85.7,46.2,24.9,104.2,76.6,81.1
E02000872,Tower Hamlets 009,17.56,36.01,28.16,12.5,5.77,171.2,11.7,14.3,10.5,34,48.9,38.4,6.2,21.5,9.2,32280,73.3,59.7,73,86.1,50.8,20.8,89.2,75.6,84.7
E02000873,Tower Hamlets 010,18.15,43.91,22.35,10.09,5.51,175.1,16.3,13.6,10.8,31.9,42.5,44.5,6.9,24.9,10.1,28954,56.6,49,67.1,88,52.1,19.3,82,76.9,83.5
E02000874,Tower Hamlets 011,22.53,35.11,23.36,13.13,5.88,206.7,17.6,12.1,11.7,34.8,33.7,53.7,7.5,29,11.3,26561,60.4,67.7,68.9,84.4,47.6,22.1,109.5,76.1,81
E02000875,Tower Hamlets 012,25.31,31.29,24.48,13.89,5.03,153.4,19.8,12,14.3,31.4,34.8,47.4,11.7,26.4,13.5,27168,64.3,52.2,62.8,85.8,47.5,23.9,87.4,79.6,84.8
E02000876,Tower Hamlets 013,16.85,39.45,25.69,13.23,4.77,134.6,13.4,15.7,7.2,37,37.7,50.2,6.1,26.5,10.8,29289,66.5,71.1,71.7,85.4,48.1,17.9,98.1,75.1,86.3
E02000877,Tower Hamlets 014,24.88,32.75,24.18,12.29,5.91,127.6,21.7,10.8,14.1,27,32,53,9.9,27.5,13.6,27236,63.6,65.4,62.8,86,49.7,21,118.5,72.7,78.2
E02000878,Tower Hamlets 015,13.71,40.89,26.6,13.25,5.55,168.6,11.4,17.2,5.8,37.6,45.3,44.9,4.5,27.2,10.8,37981,68.2,82.1,73.7,86.4,52.3,18.1,101.5,74.1,80.5
E02000879,Tower Hamlets 016,19.94,32.38,22.57,14.58,10.53,175.8,16.3,13.5,10.2,36.1,40.7,46.6,5.7,23.6,10,28325,62.5,51.3,65.2,81.6,46.4,18.4,101.7,76.9,81.8
E02000880,Tower Hamlets 017,20.24,34.26,25.36,13.02,7.12,158.5,17.1,11.8,9,34.5,36.5,52.5,4.8,27.8,9.8,28569,64.3,59.3,69.9,84.7,47.6,17.2,110.3,70.5,78.9
E02000881,Tower Hamlets 018,28.73,25.3,23.68,16.59,5.7,99.8,21.1,13.3,17.3,30.4,34.8,46.7,12,23.4,15,25871,63.6,42.3,58.9,84.6,46.3,24.4,100.3,75,80.6
E02000882,Tower Hamlets 019,27.07,26.99,25.45,13.81,6.68,151.2,23.1,13.7,13,30.7,29.6,58.1,7.2,25.8,14.4,28448,63.2,63.4,57.5,83.6,48.1,20.5,108.7,72.9,81.2
E02000883,Tower Hamlets 020,26.93,25.86,23.51,15.58,8.11,172.3,19.1,11.1,18.4,32.1,37.7,45.2,11.4,25.8,15.9,24709,61.7,50.4,64.2,81.7,45,25.1,87.5,77.3,81.4
E02000884,Tower Hamlets 021,13.91,43.98,27.34,10.06,4.71,171.6,9.8,17.2,5.8,34.3,42,48,4.1,28.6,7.5,40353,73.5,83.6,72.9,88.8,53.7,16,118.1,71.3,83.1
E02000885,Tower Hamlets 022,23.63,29.22,24.64,14.01,8.5,204.1,16.8,12.8,14.5,34.2,30.3,56.6,7.4,31.3,13.3,25521,60.2,64.8,67.5,81.7,43.6,21.6,127.1,72.8,81.3
E02000886,Tower Hamlets 023,17.99,28.32,32.76,15.36,5.57,152,14,20.8,8.1,35.9,49.5,38.5,6.3,21.6,8.2,42405,74.9,48.5,55.6,87.7,52,17,104.3,78.5,80.5
E02000887,Tower Hamlets 024,25.9,27.88,26.03,13.45,6.74,152.7,19.1,12.5,17.3,30,37.8,46.6,9.7,26.4,13,26790,66.2,47.3,62.3,85,46.9,24.3,94.6,75,78
E02000888,Tower Hamlets 025,21.35,30.18,31.53,12.42,4.53,159,16.9,20,8,34.5,40,47.9,7,25.3,8.6,39596,72.4,55.2,58.5,89.3,53.6,17.2,96.2,79.9,79.9
E02000889,Tower Hamlets 026,16.93,30.08,31.47,16.19,5.34,119.2,14.1,17.3,7,38.6,50.5,39.2,4.1,20.9,6.9,47227,75.3,52.9,57.4,88.2,51.7,15.3,107.4,74.9,80.4
E02000890,Tower Hamlets 027,9.94,25.95,36.38,20.79,6.94,104.4,9.1,26.3,3.6,45.9,76,16.5,2.2,14.7,3.9,72382,83.4,24.4,49.9,91.2,58.2,12.9,73.4,82.3,83.8
E02000891,Tower Hamlets 028,16.9,36.17,33.48,10.13,3.33,88.3,12,22.7,9.1,35.4,45.2,39.1,8.1,26.7,7.4,50177,77.5,45.1,61.4,91.8,56.8,16.6,89.7,77.8,84.8
